COLL_NUMBER,COLL_DATE,COLL_TEAM,FIELD_ID_GENUS,FIELD_ID_SP,FIELD_ID_AUTHOR,FIELD_ID_INFRA_RANK,FIELD_ID_INFRA_SP,FIELD_ID_INFRA_AUTHOR,FAMILY,PLANT_DESCRIPTION,LOCALITY,REMARKS,ALTITUDE,LAT_DEGREE,LAT_MINUTE,LAT_SECOND,LAT_FLAG,LON_DEGREE,LON_MINUTE,LON_SECOND,LON_FLAG
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
JL0001,2013/1/17,Jin-Long Zhang,Daphniphyllum,calycinum,Benth.,,,,Daphniphyllaceae,Small tree 1.5m tall,"1ha plot, Kadoorie Farm and Botanic Garden",Understory of the dense forest. Tag. No. 040582,,,,,,,,,
